"EntityId","Labels","Domain","SourceFile"
"automation.ackumulatortank_temperaturlarm","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.aktivera_borta_lage_och_stang_av_media","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.aktivera_hemma_lage","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.aktivera_hemma_vid_rorelse_i_kok","Area: KÃ¶k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.analyze_detection_response_time","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-camera.yaml"
"automation.animal_detection_notify","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_animal_detected.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.animal_motion_light_control","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_animal_detected.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.animal_motion_radio_on","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_animal_detected.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.apple_tv_i_forrad_startad","Area: FÃ¶rrÃ¥d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.apple_tv_i_forrad_stoppad","Area: FÃ¶rrÃ¥d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_badrum","Area: Badrum; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_forrad","Area: FÃ¶rrÃ¥d; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_friggebod","Area: Friggebod; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_frys","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_garage","Area: Garage; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_hall","Area: Hall; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_kyl","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_tvattstuga","Area: TvÃ¤ttstuga; Automation; Media/TTS","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_ute_friggebod","Area: Friggebod; Area: Ute; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_vardagsrum","Area: Vardagsrum; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.avlasning_saknas_varmepump","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.awaylight_off_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.awaylight_off_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.awaylight_on_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.awaylight_on_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.badrumsbelysning","Area: Badrum; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\AUTOMATION_TEMPLATE.md | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.badrumsbelysning_resolver","Area: Badrum; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.badrumsfonster_hog_fukt_larm","Area: Badrum; Automation; FÃ¶nsterljus","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-climate.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.bilen_stannar","Automation; Volvo","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\integrations\volvo.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.bilen_startar","Automation; Volvo","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\integrations\volvo.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.blink_light_person_detected","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_person_detected.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.blink_light_when_detcection_cam_5","Automation; Frigate","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\packages\frigate\frigate_animal_detected.yaml"
